Collocation,2013-09-08
KeyWord,δικαι
Instances,105
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,321.394636722747,90,41,49,4,6,9,14,8,0,10,9,13,9,8,"δίκαιον-τό (12), δίκαιον-τούς (6), δίκαια-τά (6), δικαίως-τά (5), δίκαιον-τῶν (4), δίκαιον-τῆς (4), δικαίως-τῶν (2), δίκαιον-τοῖς (2), δίκαιον-οἱ (2), δικαιότατα-τοῖς (2), δίκαιον-τήν (2), δίκαιος-τούς (2), δικαιῶ-τούς (2), δικαίως-τήν (2), δικαίων-τῶν (2), δικαίως-οἱ (2), δίκαια-τῆς (1), δικαιώσωσιν-τῆς (1), δικαίαν-τό (1), δικαιότερον-τοῖς (1), δικαίῳ-τό (1), δικαιότεροι-τήν (1), δικαιότερος-ὁ (1), δικαιότερον-οἱ (1), δικαίαν-τήν (1), δικαίως-τόν (1), δίκαια-τούς (1), δίκαιον-τά (1), δικαιοῦντες-τοῖς (1), δικαιοσύνης-τάς (1), ἐδικαίωσεν-τῶν (1), δίκαιον-τόν (1), ἐδικαίουν-οἱ (1), δίκαια-οἱ (1), δικαίως-τοῖς (1), δικαίως-τῆς (1), δικαιοῦντες-ἡ (1), δικαιῶ-τοῖς (1), δίκαια-ἡ (1), δικαίου-τό (1), δικαιοῦσι-οἱ (1), δικαιοῦσι-τῆς (1), δικαίως-ταῖς (1), δίκαιον-τάς (1), δικαίῳ-τά (1), δικαιότερος-τό (1), δικαίους-τῆς (1), δικαιοῦμεν-τό (1), δικαιώσωσιν-τό (1)"
καί,δικαι,186.459580203984,59,23,36,3,8,7,1,4,0,13,5,8,3,7,"δίκαιον-καί (20), δικαίως-καί (16), δίκαια-καί (9), δικαιοῦντες-καί (2), δικαίου-καί (2), δικαίῳ-καί (2), δικαιῶ-καί (2), δικαίαν-καί (1), δικαιοτέραν-καί (1), δικαίων-καί (1), δίκαιος-καί (1), δικαιότατα-καί (1), δικαίοις-καί (1)"
δέ,δικαι,108.100411220919,33,20,13,2,7,5,4,2,0,0,2,3,2,6,"δίκαιον-δέ (8), δίκαια-δέ (6), δικαίως-δέ (4), δικαίως-δ' (3), δικαίου-δέ (2), δικαίους-δέ (1), δικαιοτέρας-δ' (1), δίκαιον-δ' (1), δικαιοῦμεν-δ' (1), δικαιώσεσθε-δέ (1), δικαίου-δ' (1), δικαιότατα-δέ (1), δικαιοῦντες-δέ (1), δικαιότατα-δ' (1), δικαιοσύνης-δέ (1)"
οὐ,δικαι,90.8256308385171,21,17,4,1,1,1,4,10,0,0,1,0,1,2,"δίκαιον-οὐ (6), δικαίως-οὐκ (3), δικαίως-οὐ (3), δίκαια-οὐ (2), δικαίου-οὐ (2), δίκαιον-οὐχ (1), δικαίους-οὐ (1), δικαιότερον-οὐ (1), δικαίᾳ-οὐκ (1), δικαίαν-οὐχί (1)"
μή,δικαι,87.349541772157,18,3,15,0,0,0,2,1,0,1,3,2,6,3,"δίκαιον-μή (7), δικαίως-μή (5), δικαιοτέρας-μή (1), δικαιοῦντες-μή (1), δίκαια-μή (1), δικαίαν-μή (1), δίκαιος-μή (1), δικαίῳ-μή (1)"
γάρ,δικαι,83.3522928003222,18,11,7,1,4,3,1,2,0,3,2,0,2,0,"δίκαιον-γάρ (5), δικαίου-γάρ (2), δίκαια-γάρ (2), δικαίως-γάρ (2), δικαιώσεσθε-γάρ (1), δίκαιος-γάρ (1), ἐδικαίουν-γάρ (1), δικαιοῦσι-γάρ (1), δικαιότερος-γάρ (1), δικαιοῦμεν-γάρ (1), δικαιότερον-γάρ (1)"
αὐτός,δικαι,81.4936832012609,24,8,16,3,0,1,3,1,0,4,4,3,0,5,"δίκαιον-αὐτοί (2), δικαίως-αὐτούς (2), δίκαιον-αὐτούς (2), δικαιῶ-ταὐτό (1), δίκαιον-αὐτῶν (1), δικαιοῦντες-αὐτοῖς (1), δικαίως-αὐτήν (1), δικαίως-αὐτοῖς (1), δίκαιον-αὐτό (1), δικαιοῦντες-αὐτήν (1), δικαίᾳ-αὐτῶν (1), δικαίως-αὐτῶν (1), δικαίῳ-αὐτό (1), δικαιοῦμεν-αὐτούς (1), δικαίου-αὐτό (1), δίκαιον-αὐτοῖς (1), δικαίως-αὐτῷ (1), δικαίων-αὐτῶν (1), δικαίων-αὐτούς (1), δικαιοτέρας-αὐτῶν (1), δικαιώσεσθε-αὐτούς (1)"
ἄν,δικαι,72.689192303922,14,8,6,0,1,2,0,5,0,2,2,2,0,0,"δικαίως-ἄν (5), δίκαιον-ἄν (2), δίκαια-ἄν (2), δικαιότατα-κα (2), δικαιότερον-ἄν (2), δικαιότερα-ἄν (1)"
ἤ,δικαι,65.8322558067739,13,6,7,0,0,1,1,4,0,3,2,0,1,1,"δικαίως-ἤ (6), δίκαιον-ἤ (2), δικαίῳ-ἤ (2), δικαιοῦμεν-ἤ (1), δικαιότεροι-ἤ (1), δικαιοσύνης-ἤ (1)"
πρός,δικαι,64.5381628619507,14,6,8,0,1,3,2,0,0,2,0,2,2,2,"δίκαια-πρός (4), δίκαιον-πρός (4), δίκαιος-πρός (2), δικαίῳ-πρός (1), δικαίως-πρός (1), δικαίων-πρός (1), δικαίους-πρός (1)"
