Collocation,2013-09-08
KeyWord,οσι
Instances,8
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
οὔτε,οσι,28.5525241303258,3,2,1,0,0,1,1,0,0,0,0,0,1,0,ὅσια-οὔτε (3)
τιμωρέω,οσι,26.1473071407527,2,0,2,0,0,0,0,0,0,1,1,0,0,0,"ὁσιώτερον-τετιμωρημένοι (1), ὁσίου-τιμωρεῖσθαι (1)"
καί,οσι,23.5699263336137,6,3,3,1,0,1,0,1,0,0,1,2,0,0,"ὁσίων-καί (2), ὅσια-καί (2), ὅσιον-καί (1), ὁσιώτερον-καί (1)"
ὅτι,οσι,22.9622481390834,3,2,1,0,1,0,0,1,0,0,0,0,0,1,"ὅσια-ὅτι (2), ὅσιοι-ὅτι (1)"
ἄν,οσι,22.2467896845192,3,1,2,0,0,1,0,0,0,2,0,0,0,0,"ὅσια-ἄν (2), ὁσίου-ἄν (1)"
ξυν,οσι,19.8135121758096,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-ξυν (1)
ποιόω,οσι,18.7634488195181,2,1,1,0,0,0,0,1,0,0,1,0,0,0,"ὅσια-ποιοῖμεν (1), ὅσια-ποιοῦντες (1)"
τίς,οσι,17.6214193664491,3,2,1,1,0,0,1,0,0,0,0,0,1,0,"ὁσίου-τοῦ (2), ὅσιοι-τοῦ (1)"
οὐ,οσι,16.9773411820643,3,1,2,1,0,0,0,0,0,0,1,0,0,1,"ὅσιοι-οὐ (1), ὅσιον-οὐκ (1), ὁσίου-οὐ (1)"
ἱστάω,οσι,15.9946133685298,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιοι-ἱστάμεθα (1)
συνταράσσω,οσι,15.9946133685298,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσίων-ξυνεταράχθη (1)
θειόω,οσι,15.9946133685298,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιοι-θείου (1)
σωματόω,οσι,14.4072431786917,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-σωμάτων (1)
προνοέω,οσι,14.0724423327483,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσια-προνοοῦντες (1)
τε,οσι,13.9049277920276,3,1,2,0,0,0,0,1,0,0,0,1,0,1,"ὁσίου-τε (2), ὁσίων-τε (1)"
καταγιγνώσκω,οσι,13.7858413127251,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσιώτερον-καταγνωσόμενοι (1)
δικάζω,οσι,13.7858413127251,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-δικάζοιτε (1)
ἄδεια,οσι,13.5352792725898,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσια-ἄδειαν (1)
ιἕρη,οσι,13.3126906356774,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσίων-ἱερῶν (1)
μεταβάλλω,οσι,13.3126906356774,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-μεταβαλλόμενοι (1)
προτίθημι,οσι,12.0909653832205,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὁσίου-προυτίθεσαν (1)
ὁ,οσι,11.7062853062525,5,3,2,0,1,1,1,0,0,1,0,0,0,1,"ὅσια-τά (1), ὅσια-τῶν (1), ὅσιοι-τῆς (1), ὅσιον-τόν (1), ὁσίου-τό (1)"
μή,οσι,11.1548825749196,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"ὅσιοι-μή (1), ὁσιώτερον-μή (1)"
παλαιός,οσι,10.7348293126561,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσιώτερον-παλαιάς (1)
γάρ,οσι,10.7090583695099,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"ὁσίου-γάρ (1), ὅσια-γάρ (1)"
ἐλασσόω,οσι,10.4146835417487,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιοι-ἐλασσώσεσθαι (1)
μένω,οσι,9.89675812283531,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὅσια-μενοῦμεν (1)
ἔπειμι,οσι,9.85911316797137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὅσιον-ἐπιόντα (1)
νόμος,οσι,9.61383534409106,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὁσίων-νόμοι (1)
πρόθυμος,οσι,9.58114012842998,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-προθύμων (1)
δράω,οσι,8.99556413758546,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσια-δράσειαν (1)
ὁμοιόω,οσι,8.83333370648324,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὁσίων-ὁμοίως (1)
τρέπω,οσι,8.62242526747286,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὁσίων-ἐτράποντο (1)
δικαι,οσι,8.60251809563488,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσιοι-δικαίους (1)
ἀμύνω,οσι,8.39580764295533,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσιον-ἀμύνεσθαι (1)
εἰμί,οσι,7.85091494116932,2,1,1,0,1,0,0,0,0,1,0,0,0,0,"ὅσιον-εἶναι (1), ὅσια-εἶναι (1)"
σπονδή,οσι,7.77334496518597,1,0,1,0,0,0,0,0,0,0,0,1,0,0,ὅσια-σπονδαῖς (1)
πολεμέω,οσι,7.51727536506951,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσιον-πολέμιον (1)
καθίστημι,οσι,6.87867546034977,1,1,0,0,1,0,0,0,0,0,0,0,0,0,ὅσιον-καθεστῶτα (1)
λέγω,οσι,6.72013376792893,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσια-λέγοντες (1)
νῦν,οσι,6.61634951923043,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσιον-νῦν (1)
σφός,οσι,6.60914350347593,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὅσια-σφῶν (1)
ἐγώ,οσι,6.43057557055727,1,1,0,0,0,1,0,0,0,0,0,0,0,0,ὁσιώτερον-ἡμεῖς (1)
ἔτι,οσι,6.32210130244493,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὁσιώτερον-ἔτι (1)
ποιέω,οσι,5.94542139023542,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ὅσια-πεποιημένα (1)
πᾶς,οσι,5.65221821283922,1,0,1,0,0,0,0,0,0,0,0,0,1,0,ὁσίων-πάντες (1)
πρός,οσι,4.38324771868065,1,0,1,0,0,0,0,0,0,1,0,0,0,0,ὅσιοι-πρός (1)
ἐν,οσι,3.0191730838269,1,0,1,0,0,0,0,0,0,0,1,0,0,0,ὅσια-ἐν (1)
δέ,οσι,1.41045124083757,1,1,0,0,0,0,1,0,0,0,0,0,0,0,ὁσιώτερον-δέ (1)
ἀρετ�,οσι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὁσιώτερον-ἀρετ� (1)
ὐτῶν,οσι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσιώτερον-ὐτῶν (1)
ον,οσι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὅσιον-ον (1)
λιγωρίαν,οσι,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ὁσίων-λιγωρίαν (1)
πειράσαν�,οσι,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,ὅσια-πειράσαν� (1)
οσι,οσι,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"ὁσίου-ὁσίου (0), ὅσιον-ὅσιον (0), ὁσίων-ὁσίων (0), ὅσιοι-ὅσιοι (0), ὅσια-ὅσια (0), ὁσιώτερον-ὁσιώτερον (0)"
