Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,39,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σωφρ,134.804457802325,36,18,18,2,5,6,3,2,0,4,3,4,3,4,"σῶφρον-τό (4), σωφρονεῖν-ὁ (2), σωφρονοῦμεν-ὁ (2), σωφροσύνης-τό (1), σωφροσύνῃ-τήν (1), σωφροσύνην-τῶν (1), σῶφρον-τήν (1), σωφρονέστερον-τάς (1), σωφροσύνῃ-τό (1), σωφρονοῦσιν-τούς (1), σωφρονῶμεν-τούς (1), σωφροσύνην-αἱ (1), σωφρονισθῶμεν-τάς (1), σώφροσι-τοῖς (1), σωφρονίσαι-τήν (1), σώφρονος-τά (1), σώφροσι-τῶν (1), σωφρονέστερον-ὁ (1), ἐσωφρόνησαν-ἡ (1), σωφροσύνη-ἡ (1), σωφροσύνη-τό (1), σωφρονοῦμεν-τῆς (1), σωφρονοῦμεν-τῶν (1), σῶφρον-ἡ (1), σῶφρον-τῶν (1), σωφρονισθῶμεν-τῆς (1), σωφρονοῦμεν-τά (1), σωφρονοῦμεν-ἡ (1), σωφρονοῦσι-τοῖς (1), σώφρονα-τήν (1), σωφροσύνῃ-τῶν (1)"
εἰ,σωφρ,65.403849078808,10,8,2,0,2,0,0,6,0,0,0,1,0,1,"σωφρονοῦμεν-εἰ (5), σωφρονέστερον-εἰ (2), σωφρονοῦσι-εἰ (1), σωφρόνως-εἰ (1), σωφρόνων-εἰ (1)"
δέ,σωφρ,48.8062763633206,14,4,10,0,2,0,0,2,0,2,2,2,3,1,"σῶφρον-δέ (2), σῶφρον-δ' (2), σωφροσύνης-δέ (1), σώφρονα-δέ (1), σωφρονισθῶμεν-δέ (1), σωφρόνων-δέ (1), σωφρονέστερον-δέ (1), σωφρονεστάτῳ-δέ (1), σωφρονεῖν-δ' (1), σωφροσύνην-δέ (1), σώφροσι-δ' (1), σωφρονοῦσιν-δ' (1)"
καί,σωφρ,45.9884445271455,18,11,7,2,1,3,3,2,0,3,0,1,1,2,"σωφρονέστερον-καί (4), σωφρονῶμεν-καί (2), σωφροσύνην-καί (2), ἐσωφρόνησαν-καί (2), σώφρων-καί (2), σώφρονι-καί (1), σωφροσύνη-καί (1), σῶφρον-καί (1), σώφρονος-καί (1), σωφρονίσαι-καί (1), σωφρονεστάτῳ-καί (1)"
μέν,σωφρ,45.1020503118634,10,6,4,1,0,2,3,0,0,2,0,1,0,1,"σώφρονος-μέν (1), σῶφρον-μέν (1), σωφρονεῖν-μέν (1), σωφρόνων-μέν (1), σωφρόνως-μέν (1), σωφροσύνης-μέν (1), σωφρονισθῶμεν-μέν (1), σωφροσύνην-μέν (1), σωφρονεστάτῳ-μέν (1), σωφροσύνῃ-μέν (1)"
μή,σωφρ,34.0032666372135,7,2,5,0,1,1,0,0,0,0,3,1,1,0,"σωφρονέστερον-μή (2), σωφρονοῦμεν-μή (1), σωφρόνων-μή (1), σώφρονι-μή (1), σωφροσύνη-μή (1), σωφρονοῦσι-μή (1)"
λέγω,σωφρ,33.9432468195446,5,3,2,2,0,1,0,0,0,1,1,0,0,0,"σώφρων-ἔλεξε (1), σῶφρον-λέγειν (1), σῶφρον-ἔλεξε (1), σώφρονα-λέγοντα (1), σωφροσύνην-λέγωμεν (1)"
εἰμί,σωφρ,33.7982634459622,9,4,5,2,0,0,1,1,0,1,2,2,0,0,"σῶφρον-εἶναι (1), σωφρόνων-ἐστιν (1), σωφρόνων-ἔσεσθαι (1), σώφρων-εἶναι (1), σωφρονεστάτῳ-ἐστι (1), σωφρονοῦμεν-ἔσται (1), σωφρονέστερον-εἴη (1), σωφροσύνη-εἶναι (1), σωφρονῶμεν-ἐσμέν (1)"
γάρ,σωφρ,25.8745191106573,6,1,5,0,0,0,0,1,0,1,0,2,1,1,"σῶφρον-γάρ (1), σωφροσύνην-γάρ (1), σωφροσύνη-γάρ (1), σωφρόνως-γάρ (1), σωφρόνων-γάρ (1), σωφρονέστερον-γάρ (1)"
ἀνήρ,σωφρ,24.4036687784828,4,2,2,1,0,0,1,0,0,0,1,0,0,1,"σωφρόνων-ἀνδρῶν (2), σωφρονοῦμεν-ἀνδρῶν (1), σωφρονίσαι-ἀνδρῶν (1)"
ἀμαθία,σωφρ,24.139337437693,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"σωφροσύνης-ἀμαθία (1), σωφροσύνην-ἀμαθίᾳ (1)"
μόνος,σωφρ,22.141340830829,3,1,2,0,0,0,1,0,0,0,0,0,1,1,"σωφρονοῦμεν-μόνον (1), σωφροσύνη-μόνοι (1), σώφρονι-μόνον (1)"
οὐ,σωφρ,22.1229349076748,6,3,3,1,0,1,0,1,0,1,2,0,0,0,"σωφρονῶμεν-οὐ (1), σωφρόνως-οὐ (1), σωφρονέστερον-οὐ (1), σωφρόνως-οὐκ (1), σωφρόνως-οὔκ (1), σῶφρον-οὐ (1)"
εἰρηνέω,σωφρ,21.9767621061765,2,1,1,0,1,0,0,0,0,0,0,1,0,0,"σωφρόνων-εἰρήνης (1), σωφρονοῦσι-εἰρήνης (1)"
ἀδικέω,σωφρ,21.8805216290057,3,1,2,0,0,1,0,0,0,0,0,1,0,1,"σωφρόνων-ἀδικοῖντο (1), σωφρονέστερον-ἀδικεῖ (1), σωφρονῶμεν-ἀδικουμένους (1)"
μετά,σωφρ,20.7208715630695,4,1,3,0,0,0,0,1,0,0,0,2,1,0,"σωφροσύνης-μετά (2), σῶφρον-μετά (1), σωφρονέστερον-μετά (1)"
τις,σωφρ,20.1172763216309,5,2,3,0,0,1,1,0,0,1,0,2,0,0,"σωφρονίσαι-τινα (1), σωφρόνως-τις (1), σῶφρον-τινάς (1), σωφρονέστερον-τι (1), σωφρονίσαι-τι (1)"
πόλις,σωφρ,20.0275250659324,4,1,3,0,1,0,0,0,0,1,0,1,0,1,"σωφρονίσαι-πόλιν (1), σωφρονοῦμεν-πόλιν (1), σώφρονα-πόλιν (1), ἐσωφρόνησαν-πόλις (1)"
