Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,δικαι,,,,,,,,,,,,,,,,
Instances,221,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,δικαι,1003.13272685837,218,127,91,16,17,23,20,51,0,13,20,22,23,13,"δίκαια-τά (26), δίκαιον-τό (18), δικαιοσύνην-τήν (11), δικαίους-τούς (7), δικαιοσύνης-τῆς (7), δίκαιον-τούς (7), δικαίων-τῶν (7), δικαίως-τόν (6), δικαίως-ὁ (6), δικαιοσύνην-τούς (5), δικαίως-τά (5), δίκαια-ὁ (5), δίκαιος-ὁ (4), δίκαιον-τῶν (4), δικαίους-τό (3), δικαίου-τῶν (3), δίκαια-τῶν (3), δικαιοτέρους-τούς (3), δίκαια-τούς (3), δίκαια-οἱ (3), δικαίως-τήν (3), δικαίους-τῶν (3), δικαίως-τῶν (3), δικαιοσύνη-ἡ (3), δικαιοτέρους-τό (3), δικαίους-τήν (2), δίκαια-τοῖς (2), δικαίως-τούς (2), δίκαιος-τῆς (2), δικαιοσύνης-τά (2), δίκαιοι-οἱ (2), δικαίους-τά (2), δίκαιον-ὁ (2), δικαίων-οἱ (2), δίκαιον-τά (2), δικαίως-τῆς (2), δίκαιος-τά (2), δίκαια-τόν (2), δίκαιον-τόν (2), δίκαιος-τῶν (2), δίκαιον-οἱ (2), δικαιοσύνης-τό (2), δικαίως-οἱ (2), δικαιοτάτην-τήν (1), δίκαιοι-τά (1), δίκαιον-τήν (1), δικαιότερον-ὁ (1), δικαιότατα-τήν (1), δικαίως-τό (1), δικαιότερον-τάς (1), δικαιοσύνη-ὁ (1), δικαιοσύνης-οἱ (1), δικαίως-τοῖς (1), δικαιοτέρους-ὁ (1), δικαιοτέρους-τάς (1), δικαιότατον-τῆς (1), δικαίῳ-τό (1), δικαίου-τοῖς (1), δίκαιον-τοῖς (1), δικαιότερον-τοῖς (1), δικαιοσύνην-τῆς (1), δικαιότερον-τόν (1), δίκαια-τό (1), δικαίων-τόν (1), δικαίως-ἡ (1), δικαίων-αἱ (1), δικαίου-τόν (1), δικαίῳ-ὁ (1), δικαία-τό (1), δικαιότατα-τά (1), δικαιότερον-τά (1), δικαίῳ-τά (1), δικαιοσύνης-τῶν (1), δικαίως-τάς (1)"
καί,δικαι,402.466354939155,119,58,61,7,6,11,10,24,0,17,12,9,16,7,"δικαίως-καί (29), δίκαιον-καί (20), δίκαια-καί (17), δικαιοσύνην-καί (10), δικαίους-καί (8), δικαίου-καί (7), δικαίων-καί (5), δικαιότατα-καί (4), δίκαιος-καί (3), δικαιοτέρους-καί (3), δικαιοσύνης-καί (3), δικαιοσύνη-καί (2), δικαίῳ-καί (2), δικαιότερον-καί (2), δικαιοσύνῃ-καί (2), δικαιοτάτην-καί (1), δικαιότατον-καί (1)"
ἄν,δικαι,256.808161715977,58,26,32,3,3,4,4,12,0,18,6,3,4,1,"δικαίως-ἄν (34), δίκαια-ἄν (5), δίκαιος-ἄν (4), δικαιοσύνης-ἄν (2), δικαιότερον-ἄν (2), δικαίων-ἄν (2), δίκαιον-ἄν (2), δικαίους-ἄν (2), δικαιότεροι-ἄν (1), δικαίου-ἄν (1), δίκαιον-κα (1), δίκαιοι-ἄν (1), δικαιοσύνῃ-ἄν (1)"
τίς,δικαι,188.663679180667,43,23,20,5,2,1,5,10,0,2,4,4,6,4,"δικαίου-τοῦ (12), δίκαιον-τί (7), δικαίως-τοῦ (6), δικαίους-τοῦ (3), δικαίου-τί (2), δικαιότερον-τοῦ (2), δίκαιον-τοῦ (2), δικαιότατα-τοῦ (1), δικαία-τίς (1), δίκαια-τίνες (1), δικαιοτέρους-τί (1), δικαιότερον-τίνα (1), δικαιοσύνης-τί (1), δικαίων-τίνος (1), δικαιοσύνην-τοῦ (1), δίκαια-τοῦ (1)"
δέ,δικαι,186.370425187983,67,29,38,6,5,7,7,4,0,11,6,10,4,7,"δίκαιον-δέ (13), δίκαια-δέ (11), δικαίως-δέ (6), δικαιοσύνην-δέ (5), δίκαιον-δ' (4), δικαίους-δέ (3), δικαίως-δ' (3), δικαίων-δ' (3), δικαιότερον-δέ (2), δικαιοτέρους-δέ (2), δίκαιος-δέ (2), δικαιοσύνην-δ' (2), δικαίῳ-δ' (1), δικαίων-δέ (1), δικαιοσύνῃ-δέ (1), δικαιοσύνη-δέ (1), δικαιότερον-δ' (1), δικαιοσύνῃ-δ' (1), δικαίου-δέ (1), δικαίου-δ' (1), δικαιότεροι-δ' (1), δικαίους-δ' (1), δικαιοσύνης-δέ (1)"
φημί,δικαι,177.747000391595,45,20,25,5,5,6,1,3,0,2,5,6,5,7,"δίκαια-ἔφη (11), δίκαιον-ἔφη (9), δικαιοσύνην-ἔφη (5), δικαίως-ἔφη (4), δικαίου-ἔφη (2), δικαίων-ἔφη (2), δίκαιος-ἔφη (1), δικαία-ἔφη (1), δικαιότερον-ἔφη (1), δίκαια-ἔφασαν (1), δικαιοσύνη-ἔφη (1), δίκαιον-φαίη (1), δίκαια-φήσομεν (1), δικαίως-ἔφην (1), δικαιοσύνην-ἔφην (1), δικαιοσύνῃ-ἔφη (1), δίκαιον-φημί (1), δικαιότερον-φῄς (1)"
εἰμί,δικαι,169.554100104608,51,18,33,7,4,4,3,0,0,20,5,5,3,0,"δίκαιον-εἶναι (9), δικαίους-εἶναι (4), δικαιοσύνην-εἶναι (3), δίκαια-εἶναι (2), δικαιοσύνη-εἶναι (2), δίκαιον-ἐστι (2), δικαιοσύνης-εἶναι (2), δικαιοτέρους-εἶναι (2), δικαίως-ἐστίν (1), δικαίως-ἐστιν (1), δίκαια-εἶεν (1), δίκαιος-εἰμι (1), δικαιότερος-εἰμι (1), δίκαιον-εἴη (1), δίκαιον-εἴην (1), δικαία-εἶναι (1), δικαιότερον-ἐστιν (1), δικαιοσύνη-ἐστίν (1), δικαιότεροι-εἶεν (1), δίκαια-εἰσιν (1), δικαίως-εἰμι (1), δίκαια-εἰσι (1), δικαίων-ἐστίν (1), δίκαιος-εἶναι (1), δίκαιος-εἴης (1), δικαία-ἐστί (1), δικαιοσύνῃ-εἴη (1), δίκαιον-ἦν (1), δικαίως-εἰσίν (1), δικαίου-εἶναι (1), δικαιότερον-εἶναι (1), δικαίως-εἶναι (1), δίκαιον-ᾖ (1)"
ἄδικος,δικαι,164.230828229338,18,4,14,0,2,1,1,0,0,3,5,2,1,3,"δίκαια-ἄδικα (4), δικαίως-ἀδίκως (3), δικαίους-ἀδίκων (2), δίκαιον-ἀδίκων (2), δίκαιος-ἄδικος (2), δίκαιον-ἄδικος (1), δίκαια-ἀδίκων (1), δικαίως-ἄδικος (1), δίκαιος-ἄδικα (1), δίκαιον-ἄδικον (1)"
οὗτος,δικαι,149.281307954341,46,24,22,5,4,5,7,3,0,4,4,5,3,6,"δικαίως-οὗτος (4), δικαίως-τοῦτο (4), δίκαια-οὗτοι (2), δίκαιον-ταῦτα (2), δικαίως-ταῦτα (2), δικαίως-τούτου (2), δικαίως-τούτων (2), δίκαια-αὕτη (1), δίκαια-τούτοις (1), δικαίους-τούτῳ (1), δίκαια-ταῦτα (1), δικαιότατον-τοῦτο (1), δικαιοτέρους-τούτῳ (1), δικαίως-ταῦτ' (1), δίκαιοι-ταῦτα (1), δίκαια-οὗτος (1), δικαίως-τούτοις (1), δικαίως-τούτους (1), δίκαιον-ταύτην (1), δικαίου-τούτοις (1), δικαιοσύνην-τοῦτο (1), δίκαιον-τοῦτο (1), δικαιότερον-οὗτοι (1), δικαιοσύνην-ταύτην (1), δικαίου-τούτους (1), δίκαιον-τούτοις (1), δικαιοσύνῃ-τοῦτο (1), δίκαια-τοῦτ' (1), δίκαια-τοῦτον (1), δικαίους-τούτους (1), δίκαιον-τούτῳ (1), δίκαια-τούτων (1), δικαιοσύνῃ-ταῦτα (1), δικαιοτέρους-τούτου (1), δικαιοσύνῃ-τούτων (1)"
πράσσω,δικαι,109.267391240224,18,8,10,1,0,2,1,4,0,1,3,1,4,1,"δίκαια-πράττων (4), δίκαια-πράττειν (2), δίκαιον-πράττουσιν (1), δίκαια-πράττεται (1), δίκαιος-πράττων (1), δικαίως-πράττοντας (1), δικαίως-πράττειν (1), δικαιοσύνη-πράττεται (1), δίκαια-πράττοι (1), δίκαιοι-πράττουσιν (1), δίκαιος-ἐπράττου (1), δικαιοτέρους-πράττων (1), δικαίως-πράξαντος (1), δίκαιοι-πράττουσι (1)"
μέν,δικαι,103.556043301709,36,17,19,5,3,5,3,1,0,4,0,6,6,3,"δίκαια-μέν (11), δίκαιον-μέν (7), δικαίως-μέν (6), δίκαιος-μέν (3), δικαίων-μέν (2), δικαιοσύνης-μέν (2), δικαίους-μέν (1), δικαιοτέρους-μέν (1), δικαίῳ-μέν (1), δικαιότερον-μέν (1), δικαίου-μέν (1)"
ἤ,δικαι,99.9063837407157,27,12,15,2,1,3,3,3,0,5,3,3,3,1,"δίκαιον-ἤ (8), δικαιότερον-ἤ (7), δικαίως-ἤ (4), δικαίων-ἤ (3), δίκαια-ἤ (2), δικαιότεροι-ἤ (1), δικαιοσύνῃ-ἤ (1), δικαίου-ἤ (1)"
ἐγώ,δικαι,98.2793831313029,29,17,12,1,3,4,6,3,0,2,2,3,3,2,"δικαίως-μοι (3), δίκαιον-ἐγώ (3), δικαιοσύνην-μοι (2), δικαίως-ἐγώ (2), δίκαιος-ἡμῖν (1), δικαιοσύνην-με (1), δικαίως-με (1), δικαίως-μέ (1), δικαιοσύνην-ἐγώ (1), δικαίως-ἔμοιγε (1), δικαιοσύνης-ἐγώ (1), δικαιότερος-ἐγώ (1), δικαιοσύνης-ἡμῖν (1), δίκαιον-ἔγωγε (1), δικαίως-ἡμῖν (1), δικαίων-ἐγώ (1), δίκαια-ἐγώ (1), δικαιοτέρους-ἐγώ (1), δίκαια-μοι (1), δίκαια-ἡμῖν (1), δικαίως-ἔγωγ' (1), δικαίου-ἔμοιγε (1), δικαιοσύνῃ-ἡμῖν (1)"
τε,δικαι,93.6912675434723,26,19,7,3,4,3,6,3,0,0,3,2,1,1,"δικαίως-τε (6), δίκαια-τε (4), δικαίου-τε (3), δίκαιον-τε (3), δικαίους-τε (2), δικαιοτέρους-τε (1), δικαίως-τ' (1), δικαιότερον-τε (1), δικαιοσύνην-τε (1), δικαιοσύνης-τέ (1), δίκαιον-τέ (1), δικαίων-τε (1), δικαίῳ-τε (1)"
οὖν,δικαι,92.0852414462715,20,12,8,3,3,3,3,0,0,1,2,0,2,3,"δίκαια-οὖν (6), δίκαιος-οὖν (4), δικαίως-οὖν (4), δικαίων-οὖν (2), δίκαιον-οὖν (1), δικαιοσύνην-οὖν (1), δικαιοσύνης-οὖν (1), δικαιότερον-οὖν (1)"
μή,δικαι,91.5413812967017,23,13,10,4,4,1,2,2,0,3,1,3,1,2,"δίκαιον-μή (6), δικαίως-μή (6), δίκαια-μή (5), δικαίους-μή (2), δικαιοσύνην-μή (1), δίκαιοι-μή (1), δικαιοσύνης-μή (1), δικαιότερον-μή (1)"
