Collocation,2013-09-08
KeyWord,ευσεβ
Instances,21
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,77.1781640509143,19,12,7,3,1,3,2,3,0,1,0,2,3,1,"εὐσεβεῖς-τούς (3), εὐσεβῶν-τῶν (2), εὐσεβεστάτων-τούς (1), εὐσεβείας-οἱ (1), εὐσεβής-ὁ (1), εὐσεβέστατοι-οἱ (1), εὐσεβῶς-τῆς (1), εὐσέβειαν-τήν (1), εὐσεβεστέρους-τούς (1), εὐσεβεστάτων-ταῖς (1), εὐσεβείας-τῆς (1), εὐσεβῶς-τά (1), εὐσεβῶν-οἱ (1), εὐσεβεστάτων-τῶν (1), εὐσέβειαν-τῶν (1), εὐσεβείας-τόν (1)"
καί,ευσεβ,36.3134322287515,11,6,5,1,0,2,1,2,0,1,2,1,0,1,"εὐσεβείας-καί (3), εὐσεβεστέρους-καί (2), εὐσεβέστατος-καί (2), εὐσέβειαν-καί (2), εὐσεβεῖς-καί (1), εὐσεβέστερον-καί (1)"
ἀσεβέω,ευσεβ,29.0395293487236,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"εὐσεβῶν-ἠσεβηκέναι (1), εὐσεβέστατοι-ἀσεβεῖν (1)"
εἰμί,ευσεβ,28.8744981940836,7,3,4,0,2,0,1,0,0,3,1,0,0,0,"εὐσεβής-ὤν (1), εὐσέβειαν-εἶναι (1), εὐσεβέστατος-εἴη (1), εὐσεβής-ἐστι (1), εὐσεβής-εἴη (1), εὐσεβής-ἐστιν (1), εὐσεβεῖς-εἶναι (1)"
τε,ευσεβ,25.3445212692022,5,3,2,0,1,2,0,0,0,1,0,0,1,0,"εὐσεβεστέρους-τε (2), εὐσεβέστατος-τε (1), εὐσεβεῖς-τ' (1), εὐσεβῶς-τε (1)"
ποιόω,ευσεβ,21.3152191499248,3,2,1,0,0,0,0,2,0,0,0,0,1,0,"εὐσεβεστέρους-ποιῶν (1), εὐσεβεῖς-ποιοῦντας (1), εὐσεβῶς-ποιοῦντας (1)"
νομίζω,ευσεβ,19.836787304841,3,2,1,0,0,0,0,2,0,0,0,0,1,0,"εὐσέβειαν-ἐνόμιζε (1), εὐσέβειαν-νομίζεις (1), εὐσεβέστατος-νομίζοιτο (1)"
ὡς,ευσεβ,19.7716774521396,4,2,2,1,0,1,0,0,0,0,0,0,1,1,"εὐσεβής-ὡς (1), εὐσεβέστατοι-ὡς (1), εὐσεβέστερον-ὡς (1), εὐσεβῶς-ὡς (1)"
περί,ευσεβ,19.2771793715656,3,2,1,0,0,0,1,1,0,0,1,0,0,0,εὐσεβείας-περί (3)
ἤ,ευσεβ,18.4182286728173,4,1,3,0,0,0,1,0,0,0,2,1,0,0,"εὐσεβοῦς-ἤ (2), εὐσεβῶν-ἤ (1), εὐσεβέστερον-ἤ (1)"
