Collocation,2013-09-08
KeyWord,φρον
Instances,96
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
μέγας,φρον,353.098384779878,38,37,1,0,1,1,1,34,0,0,0,0,1,0,"φρονεῖς-μέγα (11), φρονεῖν-μέγα (6), φρονῶ-μέγα (3), φρονοῦσιν-μέγα (2), φρονοῦντας-μέγιστον (2), φρονοίη-μέγα (2), φρονοῦντας-μέγα (1), φρονῶν-μέγα (1), φρονῆσαι-μέγα (1), φρονουσῶν-μέγιστον (1), φρονῶ-μέγιστον (1), φροντίζοντας-μείζω (1), φρονήσας-μέγιστον (1), φρονεῖν-μέγιστον (1), ἐφρόντιζε-μέγιστον (1), φρονήσας-μέγα (1), φρονεῖς-μέγιστον (1), φρονήσει-μέγας (1)"
ὁ,φρον,268.501509780996,73,35,38,10,10,4,8,3,0,10,5,6,11,6,"φροντίζειν-τῶν (4), φρονοῦντας-τούς (3), φρονεῖν-τούς (3), φρόνησιν-τῶν (2), φρονεῖς-ὁ (2), φροντίζειν-τά (2), φρονουσῶν-αἱ (2), φρονήσας-ὁ (2), φροντίζοντας-τά (2), φρόνησιν-τήν (2), φροντίζοντας-τούς (2), φρονοῦντα-τόν (2), φροντίζειν-τόν (2), φροντίδι-ὁ (2), φρονοῦσιν-τῆς (1), φρονήσει-ταῖς (1), φροντίζοντας-τῶν (1), φρονοῦσι-τῶν (1), φρονεῖν-τῶν (1), φροντίζειν-τό (1), φρονήσας-τάς (1), φρονοῦσι-τά (1), φρονουσῶν-τῶν (1), φρόνησις-τό (1), φροντίσαι-τῆς (1), ἐφρόνει-τόν (1), φροντίσαι-τούς (1), φροντίσασι-τῶν (1), φρονῶν-τῆς (1), φρονήσει-ο (1), φρονήσει-τό (1), φροντίζοντες-τά (1), ἐφρόνουν-τούς (1), φρονήσεως-τούς (1), ἐφρόνησα-ταῖς (1), φρονῶ-ὁ (1), φρονοῦντα-τούς (1), φροντίσασι-τοῖς (1), φρόνησιν-τά (1), φροντίζω-ἡ (1), φρόνησιν-τό (1), φρονεῖς-τῶν (1), ἐφρόνουν-τά (1), φρονήσας-τῶν (1), φρονεῖν-τόν (1), ἐφρόντιζε-τό (1), φροντίδα-οἱ (1), φρονήσετε-τό (1), φροντίζειν-τήν (1), φρόνησιν-τούς (1), φροντίδων-τό (1), φρονεῖν-οἱ (1), φροντίζοντες-οἱ (1), φρονοῦσιν-ἡ (1), φροντίζοντας-οἱ (1)"
ἐπί,φρον,253.526716048829,35,20,15,3,3,13,1,0,0,9,1,2,2,1,"φρονεῖς-ἐπί (14), φρονῶ-ἐπί (5), φρονεῖν-ἐπί (3), φρονήσας-ἐπί (2), φρονοῦντας-ἐπί (2), φρονῶ-ἐφ' (1), φροντίζειν-ἐπί (1), φρονοίη-ἐπ' (1), ἐφρόνησα-ἐπί (1), φρονεῖν-ἐπ' (1), φρονεῖν-ἐφ' (1), φρονοῦσιν-ἐπί (1), φρονοῦντας-ἐφ' (1), φρονοίη-ἐπί (1)"
τίς,φρον,108.293511462398,22,14,8,1,1,4,7,1,0,4,0,2,2,0,"φρονεῖς-τίνι (5), φρονεῖν-τοῦ (3), φροντίζειν-τοῦ (2), φροντιεῖς-τί (1), φρόνησις-τοῦ (1), φρονούντων-τοῦ (1), φροντίδι-τοῦ (1), φρονῶν-τοῦ (1), φροντίζων-τοῦ (1), ἐφρόντιζε-τί (1), φροντίζειν-τί (1), φρονῶν-τίς (1), φρόνησιν-τοῦ (1), φρονεῖν-τί (1), φροντίζουσι-τί (1)"
καί,φρον,107.279770866036,38,19,19,4,4,2,4,5,0,8,1,2,4,4,"φρονεῖν-καί (6), φρονοῦντας-καί (4), φρονεῖς-καί (3), ἐφρόνει-καί (3), φρόνησιν-καί (2), φροντίζειν-καί (2), φρονοῦσιν-καί (2), φροντίζοντας-καί (2), φρόντιζε-καί (1), ἐφρόνησα-καί (1), φροντίζοντι-καί (1), φρονήσεως-καί (1), φρονούντων-καί (1), φρονῆσαι-καί (1), φροντίδων-καί (1), φροντιζόμενον-καί (1), φροντίζω-καί (1), φρονοῦντα-καί (1), φροντίζουσι-καί (1), φροντίζοντες-καί (1), φρονοίη-καί (1), φρονῶν-καί (1)"
δέ,φρον,61.302874439396,24,10,14,3,2,4,1,0,0,2,8,1,1,2,"φροντίζειν-δέ (4), φρονεῖν-δ' (2), φρονήσει-δέ (2), φρονεῖν-δέ (2), φρονήσας-δέ (1), φρονουσῶν-δ' (1), φρονήσετε-δέ (1), φρονοῦντα-δέ (1), φροντίδων-δέ (1), φρόνησιν-δ' (1), φρονοῦσιν-δέ (1), φρονοῦντας-δ' (1), φροντίζων-δέ (1), φροντίζοντας-δέ (1), φρονοῦντας-δέ (1), φροντίδα-δ' (1), ἐφρόνησα-δ' (1), φρόνησιν-δέ (1)"
φημί,φρον,59.2316881380975,16,3,13,2,1,0,0,0,0,0,1,5,4,3,"φρονεῖς-ἔφη (6), φρονῶ-ἔφη (3), φρονεῖν-ἔφη (2), φρονῶ-ἔφασαν (1), φρονοῦσιν-ἔφη (1), φρονοίη-ἔφη (1), φρονοῦντα-ἔφη (1), φροντίζειν-φής (1)"
τῷ,φρον,56.4806446144357,12,7,5,1,1,3,2,0,0,0,2,1,1,1,"φρονεῖς-τῷ (3), φρονοῦντας-τῷ (2), φρονῶ-τῷ (2), φρονήσας-τῷ (2), φροντίζοντι-τῷ (1), φρόνησιν-τῷ (1), φρονεῖν-τῷ (1)"
ὅτι,φρον,52.7683006422594,13,5,8,3,0,2,0,0,0,5,1,2,0,0,"φρονεῖς-ὅτι (4), φρονοῦσιν-ὅτι (2), φρονοῦντας-ὅτι (1), φροντίδι-ὅ (1), φροντίζω-ὅτι (1), φρονεῖν-ὅτι (1), φροντίζοντας-ὅ (1), φρονῶν-ὅτι (1), φρονεῖς-ὅ (1)"
ὁ,φρόνημα,52.0984607124701,11,8,3,1,1,2,1,3,0,1,1,1,0,0,"φρόνημα-τό (4), φρόνημα-τοῖς (3), φρόνημα-τῶν (2), φρόνημα-τούς (1), φρονήματος-τάς (1)"
ὦ,φρον,46.8062272779644,10,7,3,5,0,2,0,0,0,2,0,0,0,1,"φρονεῖς-ὦ (8), φροντίσαι-ὦ (1), φρονῶν-ὦ (1)"
ὅς,φρον,46.4777043471113,12,5,7,2,0,1,2,0,0,1,4,0,1,1,"φρονεῖς-ὅς (3), φρόνησις-ᾗ (1), φρονοῦντας-ᾧ (1), φροντίζειν-οἵ (1), φρονεῖν-ᾗ (1), φροντίζοντες-οἵ (1), φρονῶ-ᾧ (1), φρονοίη-ὧν (1), φρονῶ-ὧν (1), φρονοῦντας-ἅ (1)"
σύ,φρον,46.1613102303818,12,8,4,1,3,1,1,2,0,0,1,1,2,0,"φρονεῖς-σύ (3), φροντίζειν-σοῦ (2), φρονῶν-σοῦ (1), φροντίσασι-σοῦ (1), φρονεῖν-σοί (1), φρονῶ-ὑμῖν (1), φροντίζοντι-σοῦ (1), φροντίζω-σε (1), φροντίζειν-σύ (1)"
εἰμί,φρον,45.2673922237009,16,3,13,1,0,1,1,0,0,1,0,3,5,4,"φροντίδι-ἦν (1), φρονῶ-εἶναι (1), φρονοῦσι-ἐστιν (1), φρόνησιν-εἶναι (1), φρονούντων-ἐστί (1), φροντίζουσι-ἔστι (1), φροντίζοντας-ὄντες (1), φρονεῖν-ἐστι (1), φρονήσεως-εἶναι (1), φρονῶν-εἶναι (1), φροντίδι-εἴη (1), φρονεῖς-ἦ (1), φροντίδων-ἔσται (1), φροντίδα-εἰσι (1), φροντίζω-ᾖ (1), φροντίζων-εἴη (1)"
ἀλλά,φρον,39.8358418652788,10,5,5,1,0,1,1,2,0,3,0,0,2,0,"φρόντιζε-ἀλλά (1), φρονεῖν-ἀλλά (1), φροντίζουσι-ἀλλά (1), φροντιζόμενον-ἀλλά (1), φρόνησιν-ἀλλά (1), φροντιεῖς-ἀλλά (1), φρονῶ-ἀλλ' (1), φροντίζοντας-ἀλλά (1), φρονῶν-ἀλλ' (1), φρονήσει-ἀλλ' (1)"
οὐ,φρον,39.4273141091689,11,7,4,2,2,2,1,0,0,2,0,0,1,1,"φροντίζειν-οὐκ (2), φρονεῖν-οὐκ (2), φροντίζουσι-οὐ (1), φρονοίη-οὐ (1), φρονεῖς-οὐ (1), φροντιζόμενον-οὐκ (1), φροντιεῖς-οὐ (1), φρονοῦσιν-οὐ (1), φρονῶ-οὐκ (1)"
αὐτός,φρον,34.4926342424005,12,9,3,0,2,3,2,2,0,0,0,0,1,2,"φροντίζειν-αὐτούς (3), φροντίζειν-αὐτῶν (2), φρονοίη-αὐτῇ (1), φροντίζοντας-αὐτοῖς (1), φρόνησιν-αὐτῇ (1), φρονεῖν-αὐτοῖς (1), φρονεῖν-αὐτούς (1), φροντίζω-αὐτόν (1), φροντιζόμενον-αὐτόν (1)"
ἄνθρωπος,φρον,34.2795242546126,7,4,3,0,0,1,1,2,0,1,0,1,0,1,"ἐφρόνησα-ἄνθρωπον (1), φρονῶ-ἀνθρώπους (1), φρονήσετε-ἀνθρώπων (1), φρονεῖν-ἀνθρώπους (1), φρόνησις-ἀνθρώπου (1), φροντίζειν-ἀνθρώπων (1), φρονήσει-ἀνθρώπου (1)"
πενία,φρον,34.0155576011166,3,2,1,0,0,0,2,0,0,0,0,0,0,1,"φρονεῖς-πενίᾳ (2), φρονῶ-πενίᾳ (1)"
οὔτε,φρον,31.1759588224813,6,4,2,1,0,2,0,1,0,2,0,0,0,0,"ἐφρόνουν-οὔτε (2), φροντίζοντας-οὔτε (2), φρονήσει-οὔτε (2)"
μέν,φρον,30.3180199712515,12,4,8,0,1,1,2,0,0,0,1,5,2,0,"φρονεῖν-μέν (3), φροντίζειν-μέν (2), φρονοῦσι-μέν (1), φρονῶν-μέν (1), φρονεῖς-μέν (1), φρονήσει-μέν (1), φροντίδι-μέν (1), φρονοῦσιν-μέν (1), φρονῶ-μέν (1)"
αὖ,φρον,30.2253020647913,5,2,3,1,0,0,1,0,0,0,1,2,0,0,"φρονεῖς-αὖ (2), φρονῆσαι-αὖ (2), φρονῶ-αὖ (1)"
ἤ,φρον,30.0468718800694,9,3,6,0,1,0,2,0,0,3,0,0,1,2,"φρονεῖς-ἤ (2), φροντίζειν-ἤ (2), φρονῶν-ἤ (1), φρονοῦντας-ἤ (1), φρονεῖν-ἤ (1), φροντίζω-ἤ (1), φρονοῦσιν-ἤ (1)"
δικαι,φρον,29.5752197997645,5,3,2,0,1,1,1,0,0,0,1,0,0,1,"φρονοίη-δικαίως (2), φρονεῖν-δικαίως (1), φρονεῖς-δικαιοτέρους (1), φρονεῖς-δικαίως (1)"
πλοῦτος,φρον,28.4325965037569,3,1,2,0,0,0,1,0,0,0,1,0,1,0,"φρονεῖς-πλούτῳ (2), φρονοῦντας-πλούτῳ (1)"
δῖος,φρον,26.9586275806651,5,1,4,1,0,0,0,0,0,0,1,1,1,1,"φρονεῖν-δί' (2), φρονεῖς-δία (1), φροντίζοντες-δί' (1), φρονῶ-δί' (1)"
οὔτε,φρόνημα,26.7417152700946,3,2,1,0,2,0,0,0,0,0,1,0,0,0,φρόνημα-οὔτε (3)
γάρ,φρον,26.7092335186899,9,2,7,1,0,0,0,1,0,0,5,0,1,1,"φρονεῖς-γάρ (2), φρόντιζε-γάρ (1), φρονήσεως-γάρ (1), φρονῶ-γάρ (1), φρονοῦντας-γάρ (1), φροντιεῖς-γάρ (1), φρονεῖν-γάρ (1), φρονοίη-γάρ (1)"
