Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σοφ,,,,,,,,,,,,,,,,
Instances,87,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σοφ,279.835921821184,74,49,25,5,12,10,10,12,0,3,9,3,6,4,"σοφίαν-τήν (13), σοφούς-τούς (8), σοφῶν-τῶν (5), σοφοί-οἱ (4), σοφίαν-ὁ (4), σοφία-ἡ (3), σοφόν-τά (3), σοφῶν-τούς (2), σοφόν-τό (2), σοφίᾳ-τήν (1), σοφίαν-τά (1), σοφωτέρας-τάς (1), σοφούς-τῆς (1), σοφῶν-τάς (1), σοφός-οἱ (1), σοφωτέρου-τόν (1), σοφίαν-τό (1), σοφός-ὁ (1), σοφία-τῶν (1), σοφόν-οἱ (1), σοφόν-τῶν (1), σοφώτατος-ὁ (1), σοφίαν-τούς (1), σοφώτατος-τῶν (1), σοφωτέρας-τῶν (1), σοφίᾳ-τόν (1), σοφώτατα-τῶν (1), σοφῶν-ὁ (1), σοφά-ὁ (1), σοφία-τό (1), σοφόν-τόν (1), σοφωτέρους-τῶν (1), σοφίᾳ-τῶν (1), σοφίαν-τῶν (1), σοφωτέρας-τό (1), σοφώτατοι-οἱ (1), σοφώτατα-τά (1), σοφόν-ὁ (1), σοφωτέρους-τούς (1)"
καί,σοφ,159.120363691822,47,24,23,6,6,0,3,9,0,7,4,4,6,2,"σοφίαν-καί (10), σοφούς-καί (7), σοφίᾳ-καί (6), σοφία-καί (5), σοφόν-καί (4), σοφά-καί (3), σοφώτατα-καί (2), σοφῶν-καί (2), σοφός-καί (2), σοφώτεροι-καί (1), σοφῶς-καί (1), σοφώτερον-καί (1), σοφοῦ-καί (1), σοφοί-καί (1), σοφώτατοι-καί (1)"
εἰμί,σοφ,146.390945080668,33,9,24,2,1,1,1,4,0,11,3,4,2,4,"σοφοί-εἶναι (4), σοφίαν-εἶναι (3), σοφούς-εἶναι (2), σοφός-εἴη (2), σοφωτάτη-ᾖ (2), σοφοί-εἰσί (2), σοφοί-εἰσι (2), σοφοῦ-ὄντος (1), σοφοί-εἰσιν (1), σοφός-ἔστιν (1), σοφία-ἔστιν (1), σοφός-ὤν (1), σοφός-ἐστιν (1), σοφωτέρου-εἴη (1), σοφία-εἴη (1), σοφία-ἐστίν (1), σοφώτερον-εἶναι (1), σοφία-εἰσιν (1), σοφώτατοι-εἶναι (1), σοφόν-εἶναι (1), σοφίᾳ-εἶναι (1), σοφία-ἐστί (1), σοφοί-εἴη (1)"
δέ,σοφ,97.1481240643188,31,9,22,0,1,1,6,1,0,6,4,4,1,7,"σοφίαν-δέ (8), σοφόν-δέ (6), σοφούς-δέ (6), σοφός-δέ (3), σοφοί-δέ (1), σοφωτέρους-δέ (1), σοφά-δέ (1), σοφά-δ' (1), σοφῶν-δέ (1), σοφωτέρου-δέ (1), σοφούς-δ' (1), σοφία-δέ (1)"
σοφ,σοφ,93.1591713959351,10,5,5,3,1,0,1,0,87,0,1,0,1,3,"σοφοί-σοφοί (4), σοφούς-σοφούς (2), σοφοί-σοφίαν (1), σοφοί-σοφός (1), σοφός-σοφοί (1), σοφίαν-σοφοί (1), σοφῶς-σοφῶς (0), σοφόν-σοφόν (0), σοφῷ-σοφῷ (0), σοφίαν-σοφίαν (0), σοφός-σοφός (0), σοφωτέρας-σοφωτέρας (0), σοφωτέρους-σοφωτέρους (0), σοφώτατοι-σοφώτατοι (0), σοφωτάτη-σοφωτάτη (0), σοφοῦ-σοφοῦ (0), σοφωτέρου-σοφωτέρου (0), σοφώτατος-σοφώτατος (0), σοφία-σοφία (0), σοφίας-σοφίας (0), σοφώτερον-σοφώτερον (0), σοφώτατα-σοφώτατα (0), σοφώτεροι-σοφώτεροι (0), σοφά-σοφά (0), σοφῶν-σοφῶν (0), σοφίᾳ-σοφίᾳ (0)"
οὐ,σοφ,70.0868632830679,16,6,10,2,3,1,0,0,0,3,2,2,2,1,"σοφούς-οὐ (2), σοφός-οὐκ (2), σοφίαν-οὐ (2), σοφός-οὐ (1), σοφόν-οὐχ (1), σοφόν-οὐκ (1), σοφίᾳ-οὐ (1), σοφωτέρας-οὐκ (1), σοφώτερον-οὐκ (1), σοφία-οὐκ (1), σοφίαν-οὐκ (1), σοφοί-οὐκ (1), σοφόν-οὐ (1)"
ἐπιστήμη,σοφ,64.7331567360088,6,3,3,0,1,0,1,1,0,1,0,0,2,0,"σοφοί-ἐπιστήμῃ (2), σοφοί-ἐπιστήμη (1), σοφός-ἐπιστήμῃ (1), σοφία-ἐπιστήμη (1), σοφίαν-ἐπιστήμῃ (1)"
γε,σοφ,58.4233633717522,12,6,6,1,1,1,2,1,0,1,1,3,0,1,"σοφός-γε (3), σοφίαν-γε (2), σοφία-γε (1), σοφίᾳ-γε (1), σοφοῦ-γε (1), σοφώτερον-γε (1), σοφόν-γε (1), σοφῶς-γε (1), σοφία-γέ (1)"
ἤ,σοφ,53.3147318083793,13,5,8,1,1,1,1,1,0,3,2,3,0,0,"σοφίαν-ἤ (5), σοφόν-ἤ (3), σοφοί-ἤ (2), σοφῶν-ἤ (1), σοφός-ἤ (1), σοφίας-ἤ (1)"
τις,σοφ,48.3558333078399,13,8,5,1,1,0,4,2,0,2,1,0,1,1,"σοφόν-τι (3), σοφοί-τινες (2), σοφός-τις (2), σοφούς-τι (1), σοφῶν-τινός (1), σοφίαν-τι (1), σοφίαν-τις (1), σοφοῦ-τινος (1), σοφόν-τις (1)"
μή,σοφ,48.0069711059332,11,7,4,2,2,1,1,1,0,1,0,1,1,1,"σοφούς-μή (5), σοφίαν-μή (3), σοφός-μή (2), σοφοί-μή (1)"
αἴρω,σοφ,47.3705122172832,6,2,4,1,0,1,0,0,0,0,1,1,2,0,"σοφοί-ἆρ' (2), σοφός-ἆρ' (2), σοφία-ἆρ' (1), σοφώτατοι-ἄρασθαι (1)"
ὅς,σοφ,46.75634205807,12,4,8,1,0,2,0,1,0,2,1,2,2,1,"σοφοί-ἅ (5), σοφοί-ᾧ (1), σοφώτερον-ὅν (1), σοφώτερον-ἅ (1), σοφῶν-οὕς (1), σοφίαν-ᾧ (1), σοφός-ἅ (1), σοφίᾳ-ὅς (1)"
