Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,105,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,σωφρ,481.849359403364,104,50,54,4,8,12,10,16,0,10,8,14,12,10,"σωφροσύνης-τῆς (6), σωφρονεστέρους-τούς (4), σωφροσύνην-τήν (4), σωφροσύνη-ἡ (4), σώφρονες-οἱ (4), σωφρονεῖν-τῶν (3), σωφροσύνης-ἡ (3), σωφρονεῖν-τούς (3), σωφροσύνην-τούς (3), σώφρονες-τῶν (2), σωφροσύνης-τοῖς (2), σωφροσύνην-τοῖς (2), σωφροσύνην-τά (2), σωφροσύνης-τούς (2), σώφρονας-τούς (2), σωφροσύνῃ-τό (2), σώφρονι-τῶν (2), σωφρονεῖν-τόν (2), σωφροσύνην-τό (2), σωφρονεῖν-τό (2), σωφρονῶν-τῆς (1), σωφρονίζει-τό (1), σωφρονίζουσιν-τό (1), σωφρονεῖν-τῆς (1), σωφρονεῖν-τοῖς (1), σωφρονοῦντες-οἱ (1), σωφρονεῖν-τήν (1), σωφρονεῖν-ὁ (1), σωφρονοῖεν-τῶν (1), σωφρονοῦσι-τά (1), σωφροσύνῃ-τοῖς (1), σωφρονοῦντες-τῶν (1), σωφρόνως-ὁ (1), σώφρονος-τά (1), σωφρονίζειν-τούς (1), σωφρονῇ-ὁ (1), σωφρονίζει-τούς (1), σώφρονες-ταῖς (1), σωφρονίζειν-τό (1), σώφρονι-τό (1), σωφροσύνην-ὁ (1), σώφρονας-τήν (1), σωφρονῇς-τούς (1), σωφρόνων-ὁ (1), σωφροσύνης-τά (1), σῶφρον-τό (1), σώφρονα-τόν (1), σώφρονα-τούς (1), σωφρονίζοι-τῶν (1), σωφρονεστάτη-ἡ (1), σωφρονίζοι-ὁ (1), σωφρονῶσιν-οἱ (1), σωφρονέστερον-τούς (1), σωφρονοῦσι-τοῖς (1), σωφρονεῖν-αἱ (1), σωφροσύνης-ὁ (1), σωφρονίσαντες-τόν (1), σωφρονίζειν-ἡ (1), σώφρονας-τά (1), σωφρονοίη-τῶν (1), σωφροσύνῃ-τήν (1), σωφρονοίη-τά (1), σωφρόνως-οἱ (1), σώφρονα-τήν (1), σώφρονος-οἱ (1), σωφρονεῖν-ἡ (1), σώφρων-ὁ (1), σωφρονεῖν-ταῖς (1)"
καί,σωφρ,265.432277339511,68,34,34,5,6,4,7,12,0,8,8,6,6,6,"σωφροσύνην-καί (14), σωφροσύνης-καί (12), σώφρονες-καί (8), σωφρονεῖν-καί (7), σωφροσύνῃ-καί (4), σωφροσύνη-καί (4), σώφρονα-καί (3), σώφρονας-καί (2), σωφρονέστερον-καί (2), σωφρόνων-καί (2), σώφρονι-καί (2), σωφρονῶσιν-καί (1), σῶφρον-καί (1), σωφρονοῦντες-καί (1), σωφρονεστέρους-καί (1), σωφρονοῦσι-καί (1), σωφρονίσαντες-καί (1), σωφρονήσαντα-καί (1), σωφρονίζειν-καί (1)"
δέ,σωφρ,198.126025713049,51,20,31,4,2,3,7,4,0,4,13,9,1,4,"σωφροσύνην-δέ (6), σωφροσύνῃ-δέ (5), σωφρόνως-δέ (5), σωφροσύνης-δέ (3), σώφρονας-δέ (2), σωφρονῶσιν-δέ (2), σωφροσύνης-δ' (2), σωφρονεῖν-δέ (2), σωφρονίζῃ-δέ (2), σωφρονέστερον-δ' (1), σωφρονοῦσι-δέ (1), σωφρονίζειν-δέ (1), σῶφρον-δέ (1), σωφρονοῦντε-δέ (1), σώφρονα-δέ (1), σωφρονεστάτη-δ' (1), σώφρονι-δέ (1), σωφρονῇ-δέ (1), σωφρονίζουσιν-δέ (1), σώφρονες-δέ (1), σωφρονοῦντες-δέ (1), σωφρονῶν-δ' (1), σώφρων-δ' (1), σωφρονέστερον-δέ (1), σωφρονεῖτε-δέ (1), σωφρονίζουσι-δέ (1), σώφρονος-δ' (1), σωφροσύνῃ-δ' (1), σωφροσύνη-δέ (1), σωφροσύνην-δ' (1), ἐσωφρόνεις-δέ (1)"
ἤ,σωφρ,66.2921611145139,16,6,10,0,1,2,1,2,0,3,3,3,1,0,"σώφρονι-ἤ (4), σώφρονα-ἤ (3), σώφρονος-ἤ (2), σωφρονοίη-ἤ (1), σωφρονοῖεν-ἤ (1), σωφρονίζειν-ἤ (1), σῶφρον-ἤ (1), ἐσωφρόνεις-ἤ (1), σωφρονίζῃ-ἤ (1), σωφρονεῖν-ἤ (1)"
ἄνω,σωφρ,63.5572129851207,8,4,4,0,0,1,2,1,0,1,1,0,0,2,"σωφροσύνης-ἄνευ (4), σωφρονίζει-ἄνευ (1), σωφρονεῖτε-ἄνευ (1), σωφροσύνην-ἄνευ (1), σωφρονεῖν-ἄνευ (1)"
εἰμί,σωφρ,58.4626423576847,20,12,8,3,4,1,2,2,0,3,3,1,1,0,"σωφρονεῖν-εἶναι (3), σωφροσύνην-εἶναι (2), σώφρονα-ἔσεσθαι (1), σωφρονεῖν-ἐστι (1), σωφρονεῖν-εἴη (1), σωφρόνων-ἐστι (1), σώφρονας-εἶναι (1), σώφρων-ἔσεσθαι (1), σωφρονίσαντες-εἶναι (1), σωφρονοῦντε-ἔστε (1), σώφρονε-εἶναι (1), σωφρονίζειν-εἶναι (1), σωφρονῶν-εἶναι (1), σώφρονι-εἶναι (1), σωφροσύνης-ἐστίν (1), σωφρονεῖν-ἔν (1), σωφροσύνη-εἶναι (1)"
ὑβριστής,σωφρ,52.6028185700998,4,1,3,0,1,0,0,0,0,3,0,0,0,0,"σώφρων-ὑβριστής (1), σώφρονα-ὑβριστής (1), σώφρονος-ὑβριστήν (1), σωφρονεστέρους-ὑβριστάς (1)"
τίς,σωφρ,50.285730663687,14,6,8,2,0,1,0,3,0,1,2,2,2,1,"σωφροσύνη-τί (6), σωφρονεῖν-τοῦ (2), σώφρονι-τί (1), σωφρονεῖν-τίς (1), σωφροσύνης-τίνι (1), σώφρονος-τοῦ (1), σώφρων-τί (1), σωφρονίζει-τοῦ (1)"
ἄν,σωφρ,47.0741014583036,15,9,6,1,2,3,2,1,0,2,2,1,0,1,"σωφρονεῖν-ἄν (3), σωφροσύνης-ἄν (2), σῶφρον-ἄν (1), σωφροσύνη-ἄν (1), σωφρονοίη-ἄν (1), σωφρονίζοι-ἄν (1), σώφρων-ἄν (1), σωφρονοῖεν-ἄν (1), ἐσωφρόνεις-ἄν (1), σωφρονῶν-ἄν (1), σωφρονεστάτη-ἄν (1), σώφρονες-ἄν (1)"
δικαι,σωφρ,43.7363600507379,7,4,3,1,1,1,1,0,0,0,1,0,1,1,"σωφρονέστερον-δικαιότερον (1), σωφροσύνη-δίκαιον (1), σωφρονῶσιν-δίκαιον (1), σωφρονεῖν-δίκαια (1), σωφρονῶν-δικαίως (1), σώφρων-δίκαιος (1), σώφρονα-δίκαιον (1)"
μᾶλλον,σωφρ,42.0667781261727,8,4,4,0,2,0,2,0,0,0,3,0,1,0,"σωφρονίζειν-μᾶλλον (1), σωφροσύνη-μᾶλλον (1), σωφρονίζοι-μᾶλλον (1), σωφρονέστερον-μᾶλλον (1), σωφρονοῦντα-μᾶλλον (1), σῶφρον-μᾶλλον (1), σωφροσύνην-μᾶλλον (1), σωφρονοῖεν-μᾶλλον (1)"
μέν,σωφρ,39.2401869902387,15,8,7,4,2,1,0,1,0,0,2,2,1,2,"σώφρονας-μέν (2), σωφροσύνης-μέν (2), σωφρονεῖν-μέν (2), σωφροσύνην-μέν (2), σωφρόνως-μέν (1), ἐσωφρόνεις-μέν (1), σωφρονῇς-μέν (1), σωφρονίζοι-μέν (1), σωφρονίζουσι-μέν (1), σώφρων-μέν (1), σώφρονες-μέν (1)"
ανδρει,σωφρ,37.9372554430738,4,3,1,0,0,0,3,0,0,0,0,0,1,0,"σῶφρον-ἀνδρεία (1), σώφρονι-ἀνδρείῳ (1), σωφροσύνην-ἀνδρείαν (1), σωφροσύνη-ἀνδρεία (1)"
σύνειμι,σωφρ,37.0447545191273,5,2,3,0,0,0,1,1,0,0,1,2,0,0,"σώφρονας-συνόντας (1), σωφρονοῦντε-συνήστην (1), σωφρονεστέρους-συνόντας (1), σωφροσύνῃ-συνῆν (1), σωφρονεῖν-συνόντας (1)"
ἑαυτοῦ,σωφρ,35.3262124592438,8,2,6,0,0,0,1,1,0,0,3,1,2,0,"σώφρονι-ἑαυτῆς (2), σωφροσύνης-ἑαυτούς (1), σωφροσύνην-αὑτοῦ (1), σωφρονεῖν-ἑαυταῖς (1), σωφρονεστέρους-ἑαυτῶν (1), σωφροσύνην-αὑτήν (1), σώφρονα-ἑαυτῷ (1)"
αὐτός,σωφρ,34.9527619257569,13,7,6,2,0,1,2,2,0,3,1,0,2,0,"σωφρόνως-αὐτούς (2), σωφρόνως-αὐτήν (1), σωφροσύνη-αὐτῷ (1), σωφρονεῖν-αὐτήν (1), σωφρονῶν-αὐτός (1), σωφροσύνης-αὐτά (1), σωφρονεστέρους-αὐτός (1), σωφρονεῖν-αὐτούς (1), σωφροσύνην-αὐτοῖς (1), σωφρονῶσιν-αὐτοί (1), σωφρονίζουσι-αὐτῶν (1), σεσωφρονίσθαι-αὐτόν (1)"
ἐν,σωφρ,33.1736951591447,10,4,6,1,2,1,0,0,0,1,1,2,0,2,"σωφροσύνῃ-ἐν (2), σωφρονοῦντες-ἐν (1), σωφρονεῖν-ἐν (1), σωφρονεῖτε-ἐν (1), σώφρονες-ἐν (1), σωφρονεστάτη-ἐν (1), σωφρονέστερον-ἐν (1), σωφροσύνη-ἐν (1), σώφρονας-ἐν (1)"
αἰδώς,σωφρ,31.6635145954788,3,3,0,0,1,0,2,0,0,0,0,0,0,0,"σωφροσύνην-αἰδῶ (1), σωφροσύνης-αἰδοῦς (1), σωφροσύνῃ-αἰδοῖ (1)"
εἰ,σωφρ,31.0085430871695,9,5,4,0,0,2,0,3,0,2,1,0,1,0,"σωφρονεῖτε-εἰ (2), ἐσωφρόνεις-εἰ (1), σώφρονα-εἰ (1), σωφρονῶσιν-εἴ (1), σωφροσύνης-εἰ (1), σωφρονῶν-εἰ (1), σώφρονες-εἰ (1), σωφρονίζειν-εἰ (1)"
ἀλλά,σωφρ,30.8288851995021,9,5,4,2,1,0,0,2,0,2,0,1,1,0,"σωφροσύνην-ἀλλά (2), σωφρονεῖν-ἀλλά (2), σωφρόνων-ἀλλά (1), σωφρονεστέρους-ἀλλά (1), σωφρονίζειν-ἀλλά (1), σωφροσύνης-ἀλλ' (1), ἐσωφρόνεις-ἀλλά (1)"
οὐ,σωφρ,30.5132273212075,10,4,6,1,0,2,1,0,0,1,0,1,2,2,"σωφροσύνην-οὐ (3), σωφροσύνης-οὐ (1), σωφρονήσαντα-οὐκ (1), σωφροσύνη-οὐχ (1), σωφρονεῖν-οὐκ (1), σωφρονοῦντε-οὐ (1), σωφρονῶσιν-οὐκ (1), σώφρονες-οὐχ (1)"
γίγνομαι,σωφρ,29.9687327127904,8,5,3,1,0,4,0,0,0,2,0,1,0,0,"σώφρων-γένοιτο (2), σώφρονα-γένοιτο (1), σώφρονες-γίγνοιντο (1), σώφρονα-γενέσθαι (1), σωφροσύνης-γίγνεται (1), σώφρων-γεγένηται (1), σωφρονεῖν-γένοιτο (1)"
ἄφρων,σωφρ,29.7213304350153,3,2,1,0,0,0,0,2,0,0,0,0,1,0,"σώφρων-ἄφρονος (2), σώφρονα-ἄφρονος (1)"
ἄδικος,σωφρ,29.4139897590503,4,3,1,0,1,0,2,0,0,0,0,1,0,0,"σωφρονεῖν-ἀδικωτέρους (1), σώφρονα-ἄδικος (1), σωφροσύνη-ἄδικον (1), σώφρων-ἄδικος (1)"
