Collocation,2013-09-08
KeyWord,δικαι
Instances,81
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,δικαι,228.642362535931,67,36,31,9,7,3,4,13,0,4,5,7,6,9,"δίκαια-τά (9), δικαίων-τῶν (5), δίκαια-οἱ (4), δίκαιον-τῶν (3), δίκαιον-τάς (3), δικαίως-τοῖς (3), δίκαιον-τήν (2), δίκαιον-τούς (2), δίκαια-τούς (2), δικαίως-τῶν (2), δικαίως-τά (2), δικαίως-οἱ (2), δικαιότερον-οἱ (2), δικαιοτάτους-τῶν (2), δίκαια-τῶν (2), δικαίως-τήν (2), δικαιότερον-τά (1), δίκαιον-τῆς (1), δίκαιον-τά (1), δικαιότερον-τούς (1), δικαίως-τάς (1), δίκαιον-τοῖς (1), δίκαια-τῆς (1), δικαίαν-τήν (1), δίκαιον-τόν (1), δικαίων-οἱ (1), δίκαιον-οἱ (1), δικαίως-τούς (1), δικαίως-ταῖς (1), δικαίων-τοῖς (1), δικαιοσύνης-ὁ (1), δίκαια-τήν (1), δίκαιον-τό (1), δικαίου-τήν (1), δίκαια-ὁ (1), δίκαια-τόν (1)"
καί,δικαι,110.966409116983,38,20,18,3,3,5,1,8,0,7,0,5,4,2,"δικαίως-καί (10), δίκαια-καί (10), δίκαιον-καί (7), δικαιότερα-καί (3), δικαίου-καί (2), δικαιοσύνης-καί (2), δικαιότατα-καί (1), δικαίους-καί (1), δικαίῳ-καί (1), δικαιότατον-καί (1)"
ἄν,δικαι,91.9244952383451,17,11,6,0,0,0,5,6,0,3,2,0,0,1,"δικαίως-ἄν (13), δικαίων-ἄν (1), δικαιότατα-ἄν (1), δικαιότερα-ἄν (1), δίκαια-ἄν (1)"
οὐ,δικαι,90.9760839049704,18,14,4,1,3,0,2,8,0,0,2,0,1,1,"δικαίως-οὐ (8), δικαίως-οὐκ (3), δίκαια-οὐ (2), δίκαια-οὐκ (2), δίκαιον-οὐ (1), δικαίους-οὐκ (1), δικαίως-οὐχ (1)"
δέ,δικαι,85.9924330860376,30,11,19,2,2,0,3,4,0,0,2,11,4,2,"δίκαια-δέ (8), δικαίως-δέ (3), δικαίων-δέ (3), δίκαια-δ' (3), δίκαιον-δέ (3), δικαιότερον-δέ (2), δικαίαν-δέ (2), δίκαιος-δέ (1), δικαιοτάτους-δέ (1), δικαίως-δ' (1), δικαίου-δέ (1), δίκαιον-δ' (1), δικαιοσύνης-δέ (1)"
ἐγώ,δικαι,71.2710700379685,14,7,7,0,3,3,0,1,0,2,2,2,1,0,"δικαίως-μοι (3), δικαίως-με (2), δίκαιον-ἡμῖν (2), δικαίως-ἡμῖν (1), δίκαιον-μοι (1), δίκαια-μοι (1), δίκαια-ἐγώ (1), δίκαια-με (1), δικαίαν-ἡμῖν (1), δικαίως-ἐγώ (1)"
εἰμί,δικαι,70.1800636444241,20,5,15,0,4,0,0,1,0,12,1,1,0,1,"δίκαιον-εἶναι (5), δίκαιον-εἴη (3), δίκαιος-εἴη (2), δίκαια-εἶναι (2), δικαίους-εἶναι (1), δικαίων-εἶναι (1), δικαίως-εἰμι (1), δικαίως-ὄν (1), δίκαιον-ἦν (1), δικαιοτάτους-εἶναι (1), δικαίως-εἴης (1), δικαιότερον-εἶναι (1)"
ποιέω,δικαι,66.6262835622765,12,5,7,0,1,1,1,2,0,4,1,1,0,1,"δικαιοσύνης-πεποιήκατε (1), δίκαιον-ποιεῖσθαι (1), δικαίως-ποιήσων (1), δίκαια-πεποιηκέναι (1), δικαίου-ποιεῖσθαι (1), δίκαια-ποιήσω (1), δίκαια-ποιήσαντες (1), δικαίαν-ποιησόμενοι (1), δίκαιον-ποιεῖν (1), δικαιότερα-ποιεῖν (1), δίκαιον-ποιεῖ (1), δικαίως-ποιεῖσθαι (1)"
σύ,δικαι,60.9224693253636,12,8,4,1,3,2,1,1,0,2,1,0,1,0,"δίκαια-ὑμῖν (3), δίκαια-ὑμεῖς (2), δικαίως-ὑμεῖς (2), δίκαια-σύ (1), δικαιοσύνης-ὑμῖν (1), δικαίως-σοί (1), δίκαιον-ὑμῖν (1), δικαίως-σοῦ (1)"
αὐτός,δικαι,60.5781239466742,17,4,13,2,0,0,1,1,0,1,3,3,3,3,"δικαίως-αὐτῷ (3), δίκαια-αὐτόν (2), δικαίως-αὐτόν (2), δικαίου-αὐτός (1), δικαίων-αὐτούς (1), δίκαια-αὐτούς (1), δικαίως-αὐτός (1), δίκαιον-αὐτούς (1), δίκαιον-αὐτῶν (1), δίκαια-αὐτοῖς (1), δίκαιον-αὐτόν (1), δικαίως-αὐτούς (1), δίκαια-αὐτῷ (1)"
