Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,φρον,,,,,,,,,,,,,,,,
Instances,29,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ὁ,φρον,116.394190016203,26,12,14,0,2,4,6,0,0,4,1,2,2,5,"φρονοῦντας-τούς (4), φρονοῦσαι-οἱ (1), φρονήσας-ὁ (1), φρονούντων-τῶν (1), φρονοῦντας-τά (1), φρονοῦσιν-τούς (1), φρονοῦσαι-αἱ (1), φροντίδι-οἱ (1), φρονοῦσαι-τά (1), φρονεῖ-ὁ (1), φρονοῦσιν-τοῖς (1), ἐφρόνει-οἱ (1), φρονεῖν-τῶν (1), φρονοῦσιν-οἱ (1), ἐφρόντιζον-οἱ (1), φρονοῦντες-οἱ (1), ἐφρόνουν-τό (1), φροντίζειν-ἡ (1), ἐφρόνει-τόν (1), φρονοῦσιν-τά (1), φρονοῦσι-τά (1), φρονοῦντες-τοῖς (1), φρονοῦσι-τοῖς (1)"
μέγας,φρον,101.679991963319,10,10,0,0,0,1,1,8,0,0,0,0,0,0,"φρονήσας-μέγα (2), ἐφρόνουν-μέγα (2), ἐφρόνουν-μεῖζον (1), φρονεῖν-μέγα (1), φρονοῦντας-μέγιστον (1), φρονοῦντες-μέγα (1), φρονεῖ-μεῖζον (1), φρονούντων-μέγα (1)"
ὁ,φρόνημα,49.2344812923111,11,6,5,1,1,1,1,2,0,3,2,0,0,0,"φρόνημα-τό (4), φρόνημα-τῶν (2), φρονήματα-τῶν (1), φρονήματος-τούς (1), φρόνημα-ὁ (1), φρονήματα-τά (1), φρονήματι-τόν (1)"
δέ,φρον,49.0595581163652,12,4,8,2,0,1,1,0,0,0,3,1,1,3,"φρονήσας-δέ (1), φρονοῦσαι-δέ (1), φρονοῦντας-δέ (1), φρονεῖ-δέ (1), ἐφρόντιζον-δέ (1), φροντίδι-δέ (1), ἐφρόνουν-δ' (1), φρονοῦντας-δ' (1), φρονούντων-δ' (1), φρονοῦσι-δέ (1), φρονοῦσιν-δ' (1), ἐφρόνουν-δέ (1)"
ἐπί,φρον,33.8994454788044,6,1,5,0,0,0,1,0,0,4,0,1,0,0,"ἐφρόνουν-ἐπί (2), φρονήσας-ἐπί (2), φρονούντων-ἐφ' (1), φρονοῦντας-ἐπί (1)"
καί,φρον,30.761939716991,10,6,4,3,2,0,1,0,0,1,1,0,1,1,"ἐφρόνουν-καί (2), φρονοῦντες-καί (2), φρονοῦντας-καί (2), φρονοῦσι-καί (1), φροντίζειν-καί (1), φρονοῦσαι-καί (1), φρονήσας-καί (1)"
τῷ,φρον,30.3014228600077,5,2,3,2,0,0,0,0,0,0,2,0,1,0,"ἐφρόνουν-τῷ (3), φρονοῦντας-τῷ (1), φρονήσας-τῷ (1)"
ἕκαστος,φρον,23.7319447216578,3,2,1,1,1,0,0,0,0,0,0,1,0,0,"φρονούντων-ἑκάστων (1), φρονοῦσαι-ἑκάστῃ (1), ἐφρόνουν-ἑκάστους (1)"
τῷ,φρόνημα,20.1795986206271,3,3,0,0,1,0,1,1,0,0,0,0,0,0,"φρονήματι-τῷ (2), φρονήματα-τῷ (1)"
ἡμέτερος,φρον,19.5783457462676,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"φρονοῦσαι-ἡμέτερα (1), φρονοῦσι-ἡμέτερα (1)"
