Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,17,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ἤν,σωφρ,66.0722926496528,6,6,0,0,0,1,3,2,0,0,0,0,0,0,"σωφρονῆτε-ἤν (3), σωφρονῶμεν-ἤν (2), σωφρονίζειν-ἤν (1)"
οὖν,σωφρ,59.197172310669,7,6,1,0,0,0,1,5,0,0,0,1,0,0,"σωφρονῆτε-οὖν (4), σωφρονοῖεν-οὖν (1), σωφρονίσαι-οὖν (1), σωφρονῶμεν-οὖν (1)"
ὁ,σωφρ,40.5389447407797,13,5,8,3,0,1,1,0,0,2,0,2,2,2,"σωφρονῆτε-τήν (2), σώφρονες-οἱ (1), σωφρόνως-ὁ (1), σωφρονῶμεν-τῆς (1), σωφρόνως-οἱ (1), σωφρονίζειν-ἡ (1), σωφρονεῖν-τά (1), σωφρονίσαι-τοῖς (1), σωφρονῆτε-τούς (1), σωφρονιζούσας-τό (1), σωφρονίζειν-τάς (1), σωφρονιζούσας-τάς (1)"
οὗτος,σωφρ,35.2686620783061,7,2,5,0,1,1,0,0,0,2,1,0,1,1,"σωφρονῆτε-τοῦτον (2), σωφρονιζούσας-τούτων (1), σωφρονῶμεν-τούτων (1), σωφρονῆτε-τούτου (1), σωφρονίζειν-τούτων (1), σωφρονῆτε-τούτῳ (1)"
ἐννοέω,σωφρ,22.8183408966288,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σωφρονισθείην-ἐννοῶ (1), σωφρονισθείην-ἐννοεῖτε (1)"
ἄν,σωφρ,22.5725896828808,4,2,2,1,0,0,1,0,0,0,1,0,1,0,"σωφρονῆτε-ἄν (1), σωφρονισθείην-ἄν (1), σωφροσύνην-ἄν (1), σωφρονεῖν-ἄν (1)"
δήπου,σωφρ,21.884403354954,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"σωφρόνων-δήπου (1), σώφρονες-δήπου (1)"
αὐτός,σωφρ,21.4616472329944,5,2,3,1,0,0,1,0,0,2,0,0,0,1,"σωφρονῆτε-αὐτῶν (1), σωφρονίσαι-αὐτούς (1), σωφρονῶμεν-αὐτός (1), σωφρονεῖν-αὐτούς (1), σωφρονοῖεν-αὐτοί (1)"
τις,σωφρ,21.4581694528461,4,1,3,0,0,0,0,1,0,0,0,1,1,1,"σωφροσύνην-τις (1), σωφρονίζειν-τινας (1), σωφρονῆτε-τι (1), σωφρονῆτε-τις (1)"
ὅτι,σωφρ,21.2142937704921,4,1,3,0,0,1,0,0,0,1,0,1,0,1,"σώφρονες-ὅτι (1), σωφρονῆτε-ὅ (1), σωφρονισθείην-ὅτι (1), σωφρονισθείην-ὅ (1)"
καί,σωφρ,18.256159865763,7,6,1,1,2,1,0,2,0,0,0,1,0,0,"σωφρονοῖεν-καί (2), σωφρονῆτε-καί (2), σωφρονίσαι-καί (1), σωφρόνων-καί (1), σωφρονεῖν-καί (1)"
ἤ,σωφρ,18.0721792471595,3,1,2,0,1,0,0,0,0,1,0,0,1,0,"σωφρόνων-ἤ (1), σωφρονιζούσας-ἤ (1), σωφρονῆτε-ἤ (1)"
ὁρῷέν,σωφρ,17.8461318006739,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονεῖν-ὁρῷέν (1)
φοβεῖσθαί,σωφρ,17.8461318006739,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονεῖν-φοβεῖσθαί (1)
σύ,σωφρ,16.3019789708778,3,1,2,0,0,1,0,0,0,0,0,2,0,0,"σωφρονισθείην-ὑμεῖς (1), σωφρονεῖν-σέ (1), σωφρονῆτε-ὑμεῖς (1)"
ἐάν,σωφρ,15.9616492418572,2,2,0,0,0,0,1,1,0,0,0,0,0,0,σωφρονῆτε-ἐάν (2)
νύξ,σωφρ,15.887363712769,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"σωφρονῆτε-νύκτα (1), σωφρονῆτε-νύκτας (1)"
εἰ,σωφρ,15.6785145914182,3,1,2,0,0,0,1,0,0,0,0,0,1,1,"σωφρόνων-εἰ (1), σωφρονεῖν-εἰ (1), σωφρονοῖεν-εἰ (1)"
ἀποδύνω,σωφρ,15.0738016171381,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονῆτε-ἀποδέδυκεν (1)
ἀπειλή,σωφρ,15.0738016171381,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονιζούσας-ἀπειλάς (1)
βιάω,σωφρ,15.0738016171381,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονίζειν-βία (1)
μέν,σωφρ,14.9021591516212,4,2,2,0,0,0,0,2,0,1,0,1,0,0,"σωφρόνων-μέν (1), σώφρονες-μέν (1), σωφρονῆτε-μέν (1), σωφροσύνην-μέν (1)"
ἀρκάς,σωφρ,14.8854915257543,2,2,0,2,0,0,0,0,0,0,0,0,0,0,"σωφρονοῖεν-ἀρκάδες (1), σωφρονῆτε-ἀρκάδων (1)"
γιγνώσκω,σωφρ,14.8288320349529,2,0,2,0,0,0,0,0,0,0,2,0,0,0,"σωφρονίζειν-γιγνώσκω (1), σωφρόνως-γνούς (1)"
οὐ,σωφρ,13.6298633939587,3,1,2,0,0,0,1,0,0,1,0,1,0,0,"σωφρονιζούσας-οὐχ (1), σωφρονῶμεν-οὐ (1), σωφρονῆτε-οὐ (1)"
ἦδος,σωφρ,13.3666653693654,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σωφρονιζούσας-ἤδη (1), σωφρονῆτε-ἤδη (1)"
πάομαι,σωφρ,13.3482262664475,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονῶμεν-πέπαται (1)
παιδεύω,σωφρ,13.3482262664475,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνην-παιδεύονται (1)
βάδην,σωφρ,12.4406900098547,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρόνως-βάδην (1)
λίαν,σωφρ,12.4406900098547,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονισθείην-λίαν (1)
δέ,σωφρ,11.8259655958973,5,2,3,0,0,0,2,0,0,0,1,1,0,1,"σωφρόνως-δέ (2), σωφρονῆτε-δέ (1), σωφροσύνην-δ' (1), σωφρονισθείην-δέ (1)"
ἀνόσιος,σωφρ,11.8196190362796,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονες-ἀνόσιον (1)
κολάζω,σωφρ,11.346799257677,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφρονιζούσας-κολάζειν (1)
θανατόω,σωφρ,10.9649122497067,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρονες-θανάτου (1)
ἐπακολουθέω,σωφρ,10.6445710337721,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρόνως-ἐπηκολούθουν (1)
κλέπτω,σωφρ,10.6445710337721,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονῶμεν-κλέψας (1)
αἰσχρός,σωφρ,10.3686770242639,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνην-αἰσχρόν (1)
καταμανθάνω,σωφρ,10.3686770242639,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνην-καταμάθοι (1)
ἄδικος,σωφρ,10.1263976590708,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονες-ἄδικον (1)
ποιέω,σωφρ,10.1011271532625,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"σωφρονῆτε-ποιήσετε (1), σωφρονῆτε-ποιεῖν (1)"
μηδέ,σωφρ,10.0154878953472,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφρόνων-μηδέ (1)
συνίστημι,σωφρ,10.0154878953472,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονοῖεν-συστάντες (1)
ἐκκλησία,σωφρ,9.22485127719119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονίσαι-ἐκκλησίᾳ (1)
ἥσσων,σωφρ,9.153666108381,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονιζούσας-ἧττον (1)
ὅποι,σωφρ,8.89200480328873,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφρονῆτε-ὅποι (1)
ἀξιόω,σωφρ,8.83164806943387,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφρονῆτε-ἀξιωθῆναι (1)
ἔφορος,σωφρ,8.50366843352094,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονίσαι-ἐφόροις (1)
ἀχαιός,σωφρ,8.31177302310243,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονοῖεν-ἀχαιοί (1)
ἀκολουθέω,σωφρ,8.09545185510069,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονῆτε-ἀκολουθεῖν (1)
ἀποχωρέω,σωφρ,7.82761555444449,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρόνως-ἀπεχώρουν (1)
κακόω,σωφρ,7.79215802298859,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφρονῆτε-κακῶς (1)
πολύς,σωφρ,7.65402916399762,2,2,0,1,0,0,1,0,0,0,0,0,0,0,"σωφροσύνην-πολλήν (1), σωφρονῆτε-πολλούς (1)"
ἐναντίος,σωφρ,7.52937208302319,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονῆτε-τἀναντία (1)
ταχύς,σωφρ,7.32511465344578,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφρονισθείην-ταχύ (1)
λακεδαίμων,σωφρ,7.19121946766973,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφρονῆτε-λακεδαίμονα (1)
τε,σωφρ,7.16091538826004,2,2,0,0,0,1,1,0,0,0,0,0,0,0,"σωφρονίζειν-τέ (1), σωφρονεῖν-τε (1)"
ἄπειμι,σωφρ,6.92536579631269,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφρονῶμεν-ἄπιμεν (1)
ἐντεῦθεν,σωφρ,6.77325325040147,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφρονῶμεν-ἐντεῦθεν (1)
